s_norm,s_abs,kappa_pred,theta_pred_deg
0.38190954773869346,10.477337268246336,-0.04779433458583146,-33.93320680171321
0.3869346733668342,10.615196969144316,-0.04503385664144061,-34.29982148667507
0.3919597989949749,10.753056670042294,-0.04179159577953414,-34.64272901794489
0.3969849246231156,10.890916370940271,-0.03840114368623138,-34.95944138222536
0.4020100502512563,11.02877607183825,-0.03615577390993583,-35.25389569071581
0.40703517587939697,11.166635772736226,-0.03341614058465094,-35.528662280233625
0.4120603015075377,11.304495473634205,-0.03687022427911968,-35.8062505125472
0.4170854271356784,11.442355174532185,-0.04285824288130542,-36.1211292846537
0.4221105527638191,11.580214875430162,-0.049222910064125776,-36.48479362445929
0.4271356783919598,11.71807457632814,-0.05582315867032245,-36.89966146672148
0.4321608040201005,11.855934277226117,-0.06283927365280366,-37.368305632548655
